precision,recall,accuracy,f1,specificity,fp,fn,threshold
0,0,0,0,0,0,0,0.5
0,0,0,0,0,0,0,0.55
0,0,0,0,0,0,0,0.6
0,0,0,0,0,0,0,0.65
0.36363636363636365,0.946236559139785,0.9489402697495183,0.5253731343283582,0.9490235021516055,154,5,0.7
0,0,0,0,0,0,0,0.75
0.4195121951219512,0.9247311827956989,0.9595375722543352,0.5771812080536912,0.9606090698444224,119,7,0.8
0,0,0,0,0,0,0,0.85
0.5123456790123457,0.8924731182795699,0.9714193962748876,0.6509803921568628,0.9738497186362132,79,10,0.9
0.582089552238806,0.8387096774193549,0.9771997430956969,0.6872246696035242,0.9814630916914929,56,15,0.95
