precision,recall,sensitivity,specificity,accuracy,f1,tp,tn,fp,fn,threshold
0.030009680542110357,1.0,1.0,0.004965243296921549,0.03468208092485549,0.05827067669172932,93,15,3006,0,0.01
0.033155080213903745,1.0,1.0,0.10228401191658391,0.12909441233140656,0.06418219461697723,93,309,2712,0,0.02
0.04317548746518106,1.0,1.0,0.31777557100297915,0.33815028901734107,0.08277703604806408,93,960,2061,0,0.03
0.055324211778703156,1.0,1.0,0.47434624296590533,0.4900449582530507,0.10484780157835401,93,1433,1588,0,0.04
0.06773488710852149,1.0,1.0,0.5762992386626945,0.5889531149646756,0.12687585266030016,93,1741,1280,0,0.05
0.0782169890664424,1.0,1.0,0.6372062231049321,0.6480411046885035,0.1450858034321373,93,1925,1096,0,0.060000000000000005
0.08675373134328358,1.0,1.0,0.6759351208209202,0.6856133590237636,0.15965665236051502,93,2042,979,0,0.06999999999999999
0.09647302904564316,1.0,1.0,0.7116848725587553,0.7202954399486191,0.1759697256385998,93,2150,871,0,0.08
0.10484780157835401,1.0,1.0,0.7371731214829527,0.7450224791265254,0.18979591836734694,93,2227,794,0,0.09
0.11286407766990292,1.0,1.0,0.7580271433300232,0.7652536929993577,0.20283533260632497,93,2290,731,0,0.09999999999999999
0.12140992167101827,1.0,1.0,0.7772260840781199,0.7838792549775209,0.21653084982537835,93,2348,673,0,0.11
0.12863070539419086,1.0,1.0,0.791459781529295,0.7976878612716763,0.2279411764705882,93,2391,630,0,0.12
0.13676470588235295,1.0,1.0,0.8056934789804701,0.8114964675658317,0.24062095730918504,93,2434,587,0,0.13
0.14285714285714285,1.0,1.0,0.8152929493545183,0.8208092485549133,0.25,93,2463,558,0,0.14
0.1485623003194888,1.0,1.0,0.8235683548493876,0.8288375080282595,0.258692628650904,93,2488,533,0,0.15000000000000002
0.15448504983388706,1.0,1.0,0.8315127441244621,0.8365446371226718,0.26762589928057556,93,2512,509,0,0.16
0.16034482758620688,1.0,1.0,0.838795100959947,0.8436095054592164,0.27637444279346207,93,2534,487,0,0.17
0.16696588868940754,1.0,1.0,0.8464084740152268,0.8509955041746949,0.28615384615384615,93,2557,464,0,0.18000000000000002
0.17190388170055454,1.0,1.0,0.8517047335319431,0.8561335902376365,0.29337539432176657,93,2573,448,0,0.19
0.17647058823529413,1.0,1.0,0.8563389606090699,0.8606294155427103,0.3,93,2587,434,0,0.2
